N,P,K,pH,moisture,zone
140.4,31.4,99.1,5.78,41.2,1
64.7,27.3,42.9,4.56,15.5,2
68.3,21.3,38.7,5.26,37.7,2
54.2,28.9,53.0,4.79,20.3,2
152.9,43.4,108.4,5.76,50.4,1
45.5,26.6,72.4,4.79,36.6,2
83.6,24.8,75.0,4.99,19.8,2
123.3,36.7,99.4,5.82,57.7,1
43.4,8.4,28.9,4.89,29.3,2
212.7,65.2,158.5,6.53,78.6,0
21.3,24.6,22.4,5.3,38.8,2
184.7,73.9,181.4,6.7,74.7,0
28.7,11.9,38.3,4.72,27.4,2
94.5,20.7,48.9,7.64,44.4,2
75.8,20.7,60.6,7.57,33.2,2
68.2,16.7,27.9,4.74,25.1,2
186.7,63.4,151.8,6.59,73.3,0
58.7,15.0,21.4,4.8,19.2,2
96.6,15.3,40.5,4.55,16.3,2
145.7,38.0,85.5,5.53,57.0,1
161.7,46.8,90.1,5.82,52.1,1
194.9,65.4,182.2,6.33,60.5,0
119.9,51.9,111.8,5.84,53.8,1
152.6,58.0,132.5,5.88,53.3,1
215.0,70.6,197.0,6.64,80.0,0
201.6,75.6,155.3,6.61,70.8,0
186.5,78.2,191.1,6.76,74.5,0
79.7,20.3,97.7,7.5,34.7,2
62.2,24.1,45.5,7.66,36.5,2
58.3,25.4,60.9,7.44,38.6,2
124.2,48.1,116.4,5.67,42.5,1
204.4,65.8,179.1,6.12,69.6,0
54.3,22.4,20.5,5.03,29.7,2
138.9,46.7,139.7,5.89,47.7,1
122.6,53.7,139.4,5.84,57.5,1
212.0,73.9,163.6,6.47,67.2,0
50.7,10.5,55.2,5.34,37.3,2
125.7,50.7,136.4,5.57,47.0,1
70.0,32.0,41.4,7.63,48.2,2
200.9,75.4,160.8,6.5,61.7,0
142.7,54.4,115.9,5.75,41.7,1
205.2,73.9,172.7,6.5,71.7,0
127.9,36.9,133.9,5.61,55.6,1
76.7,14.0,51.8,7.31,29.0,2
206.7,72.4,173.2,6.3,77.3,0
193.0,75.5,156.5,6.78,69.1,0
110.0,32.9,48.8,7.72,48.4,2
85.8,26.7,20.7,5.11,16.2,2
135.3,43.4,139.7,5.72,47.2,1
70.0,8.1,54.1,5.12,31.8,2
151.9,37.0,93.2,5.87,41.9,1
86.5,12.1,24.6,4.65,18.0,2
214.8,74.3,190.1,6.27,76.3,0
126.2,50.1,133.2,5.76,42.9,1
214.9,76.1,159.3,6.71,70.8,0
216.3,64.8,157.2,6.39,79.7,0
73.7,14.8,20.9,5.02,21.1,2
218.8,75.5,197.0,6.72,72.0,0
187.0,67.9,187.9,6.56,63.1,0
69.9,15.2,52.3,4.66,22.1,2
212.7,62.4,177.2,6.0,66.5,0
212.4,76.2,193.4,6.73,70.2,0
161.1,45.0,104.0,5.65,40.0,1
204.6,64.7,151.2,6.7,60.4,0
42.6,15.4,60.4,4.8,16.4,2
41.7,8.7,57.5,5.04,19.3,2
77.1,20.8,61.8,4.51,20.2,2
42.1,8.2,46.0,5.08,24.1,2
200.1,77.1,182.9,6.13,61.4,0
123.7,48.7,147.2,5.84,40.4,1
217.8,77.0,162.4,6.36,62.6,0
115.9,41.5,82.7,5.69,50.3,1
165.4,50.2,129.3,5.68,57.5,1
89.9,22.7,36.4,4.75,38.1,2
195.8,73.0,155.3,6.53,80.0,0
187.1,73.9,191.9,6.76,73.7,0
36.1,17.2,44.7,4.52,34.0,2
194.0,74.5,194.9,6.71,75.6,0
108.1,44.9,115.1,5.65,57.7,1
109.6,35.3,127.0,5.57,50.0,1
98.7,24.8,69.8,4.72,28.8,2
194.2,75.2,150.7,6.09,60.9,0
214.8,68.9,175.7,6.29,71.9,0
181.6,77.1,185.2,6.38,62.0,0
154.7,58.7,88.9,5.54,53.8,1
