N,P,K,pH,moisture,yield_kg
68.7,58.9,96.3,6.54,38.3,65.09710158740305
143.6,47.5,185.5,6.46,37.3,61.08556600439465
115.2,31.7,268.2,5.55,83.4,41.58096296574349
97.8,67.0,233.1,6.18,37.5,60.270501739604114
40.3,57.9,251.6,6.26,39.0,65.84834340120963
40.3,21.4,214.7,6.3,73.2,67.83782651713452
27.6,73.8,223.1,6.66,51.5,67.64841676153306
132.6,67.6,262.3,6.57,74.4,49.891371922791954
98.1,76.5,112.4,6.72,24.6,39.61338278992637
112.0,60.8,172.4,7.03,54.1,58.13761422947029
22.7,52.9,105.3,7.13,22.4,40.99050565071432
146.1,39.3,296.9,6.94,24.4,40.94780487189911
128.2,75.3,286.0,7.41,83.5,24.588443313797868
47.6,70.6,59.9,5.54,29.7,29.221685033688765
43.6,13.2,226.4,5.89,57.3,57.60401326607775
43.8,11.8,281.3,5.52,48.8,48.25152683454523
59.6,36.4,95.1,6.79,44.3,67.14887446577403
88.2,66.7,192.0,7.3,83.0,46.975249419848254
76.2,79.1,278.9,5.99,21.5,39.3210551417167
57.9,20.5,58.5,7.35,66.5,45.381284546182144
99.5,51.6,224.4,5.62,87.4,50.43492554552687
38.1,36.7,124.3,7.37,59.2,60.495203629526195
58.0,77.9,281.1,6.2,85.6,49.74658031506831
67.6,68.9,292.8,5.7,23.7,36.66685068955845
79.3,68.7,286.1,6.47,49.3,61.2272066789179
122.1,42.8,168.6,6.01,38.2,57.499513816400146
46.0,39.0,265.5,6.07,71.2,65.08177468532554
86.9,29.1,261.1,6.11,88.7,56.635097986529736
97.0,13.9,129.8,7.11,38.0,44.99917945543093
26.0,70.5,257.2,6.58,65.8,58.16480120754849
99.0,66.9,59.3,6.12,33.9,38.573440802639496
42.2,80.0,199.1,6.72,59.6,71.25465039534197
28.5,79.8,107.5,6.93,52.5,49.5438733211123
143.4,48.9,80.1,6.05,88.0,33.89380124273628
145.5,63.8,69.2,6.33,62.6,47.568237520567436
125.1,76.1,224.1,5.74,44.5,37.79517110501168
59.6,69.5,135.0,5.86,28.0,50.01766094071907
32.7,27.3,231.2,6.86,30.6,56.34991594781663
109.0,41.5,66.3,5.86,35.8,39.97280124312455
77.2,19.0,128.8,6.55,37.6,64.96049776764997
35.9,76.8,184.9,6.92,79.5,54.451450033724576
84.4,52.4,247.7,5.71,59.3,62.622210687924415
24.5,26.0,129.7,6.63,56.6,66.49233332475609
138.2,57.0,206.5,6.01,28.0,45.916680815585245
53.6,53.3,271.5,7.43,80.2,48.03565910812375
106.1,35.1,204.0,6.47,70.6,66.20786735701604
60.5,17.9,108.2,7.11,24.7,47.23544885903211
87.6,57.0,56.1,6.6,69.5,59.38941853087548
91.1,46.4,267.5,5.59,58.0,59.21509965363136
44.0,64.1,55.3,6.77,25.7,41.6106642090975
146.0,46.4,268.7,7.4,52.1,49.460780894042806
120.8,69.7,182.2,6.7,53.9,56.05517621835948
142.1,48.6,284.8,7.14,31.6,39.728679438511854
136.3,49.3,249.7,7.27,86.2,42.102176513292015
97.7,71.4,299.5,5.96,79.5,41.21735536435504
139.8,38.2,137.7,5.92,66.8,55.85640805742046
31.5,19.4,241.8,6.72,52.4,65.58949790075819
45.5,12.0,150.5,6.32,48.8,66.91186129844422
25.9,62.9,170.0,7.18,65.6,56.22028519052043
62.3,53.4,206.9,7.3,58.2,72.06860284510675
70.5,59.3,268.4,6.21,24.4,56.79823829077677
55.3,24.9,296.0,5.97,55.9,64.12225731638546
127.7,19.5,242.1,7.06,76.4,41.64376722425931
66.4,11.0,154.4,6.05,52.1,61.735582743576224
56.5,34.5,155.3,7.15,23.6,62.635103813215245
90.6,51.3,234.4,6.35,75.0,70.8842410907539
38.3,37.5,109.7,6.84,34.1,62.21383863714588
124.3,40.6,77.6,5.69,38.1,43.55445825966473
29.7,73.3,138.7,6.75,31.5,51.86452822292295
148.3,34.4,121.8,6.4,43.1,56.2195718654726
120.4,46.0,124.1,6.67,73.0,57.93240631195746
45.8,64.9,108.4,5.84,56.4,60.67401314175122
20.7,37.8,60.5,6.97,34.3,48.70844931011457
126.0,53.5,54.5,7.23,81.4,36.03720297126329
111.9,70.4,296.9,5.93,81.6,25.44040945341608
114.8,76.5,156.9,5.69,80.9,35.594572185517045
120.3,20.3,146.1,5.55,36.7,40.60598909538103
29.6,74.9,219.9,6.78,51.6,60.90145948423719
66.6,44.4,104.6,6.71,88.9,61.562252166133234
35.1,28.1,287.5,6.59,74.0,57.374501367803106
132.2,42.1,246.6,5.96,21.9,45.45195923651742
101.0,78.6,72.4,6.28,24.6,36.02571289385749
63.0,44.5,154.4,6.69,52.5,85.2
28.3,33.0,269.8,6.49,83.6,59.03481968753752
60.4,54.3,286.2,7.48,57.7,56.726978839603944
62.3,26.8,166.9,5.77,54.8,67.74052200963685
114.8,15.3,203.4,6.89,27.4,50.07829691761944
102.9,19.0,91.8,6.31,66.0,54.26325841207833
135.3,19.0,297.8,6.36,77.5,42.46592338550173
81.4,20.6,107.9,6.94,46.6,61.35160348524157
35.5,19.7,285.7,6.88,74.3,55.742201078697605
112.7,54.9,212.4,7.48,87.5,43.34217870680233
118.9,22.7,201.9,5.76,34.3,44.80386809505069
93.0,34.2,178.2,5.71,56.6,62.95577992877198
120.2,72.8,107.7,6.95,40.1,38.57382523174567
84.2,43.2,94.1,6.66,75.5,58.1018014507015
88.0,56.7,105.1,6.05,60.4,60.162994758466766
75.6,22.1,96.6,5.66,64.4,53.889232266695004
23.3,23.5,244.9,5.67,75.9,48.92687294076015
34.0,12.9,137.5,7.29,47.7,51.19653233194713
24.1,21.8,64.5,5.88,84.1,33.215790922555655
102.7,29.5,292.3,6.15,57.3,58.79565920230818
60.9,22.4,270.9,5.95,31.1,56.72848223857294
86.1,16.2,281.9,6.21,68.7,55.62657462622151
138.0,18.4,298.7,5.64,75.5,31.526020134796525
52.4,42.3,93.5,6.54,42.2,72.53648311968581
73.3,24.4,149.1,5.64,80.0,59.27544734120626
118.2,35.5,239.6,7.1,83.4,49.32021241092962
49.7,45.2,224.0,5.97,39.4,71.88775902332438
30.0,58.3,88.5,6.58,88.8,48.68400891397926
57.7,12.8,254.0,7.26,29.8,44.632119880427354
41.0,66.0,106.1,6.8,34.1,53.84378628437676
140.9,54.0,106.0,6.57,32.9,48.63907062828644
125.1,15.7,184.2,6.15,82.6,53.77673901456278
102.3,71.2,198.2,6.17,65.8,56.244756829003755
133.3,74.5,195.0,6.84,30.6,44.23996138469877
124.5,14.3,72.9,7.49,50.8,32.939745043458714
44.3,29.4,269.4,6.82,63.1,67.43954121300423
136.0,66.4,116.4,6.62,25.8,43.54350016733409
90.1,62.4,82.4,6.96,81.8,45.54505885451596
125.0,22.9,272.2,6.43,76.3,53.703705951970484
136.5,24.7,288.9,5.62,55.4,40.496594947209
61.3,35.9,265.5,6.62,87.7,71.13853068903354
34.3,43.9,252.4,7.42,49.2,57.543645018917246
49.6,53.3,213.8,5.85,88.9,59.625892250343085
75.5,35.8,187.7,6.88,66.8,82.07407415677898
126.3,42.4,71.7,5.9,64.4,43.690108426708115
131.9,62.3,152.1,6.57,31.6,48.12904359438441
20.9,12.6,143.2,5.69,81.7,39.07455623632395
86.4,27.7,114.9,6.4,49.9,67.03763423227723
74.3,59.9,230.9,7.01,31.4,55.38283615801062
48.9,72.7,174.0,6.2,20.9,54.974808211261646
35.6,45.8,70.3,6.83,59.2,60.344385155491594
63.9,47.2,105.0,7.09,56.9,68.16448157063938
142.6,17.5,220.8,7.35,70.4,39.83569118975773
62.0,41.3,69.0,5.97,82.3,59.54299453389983
87.4,47.3,262.8,6.3,25.6,58.856416099651575
111.4,27.0,173.8,5.8,71.2,51.575571162711455
67.3,28.8,170.1,7.48,33.1,61.29349402906912
146.3,36.4,198.1,7.35,80.1,42.150643242145364
145.1,11.4,256.2,6.58,77.3,46.40578658607875
52.7,32.5,137.0,7.18,57.9,72.46438254209703
84.6,24.8,219.5,6.54,69.7,66.65133336294105
59.1,32.9,191.4,6.75,42.0,79.36030486977876
57.0,18.4,116.8,5.68,53.0,58.56243450102727
24.8,72.3,269.7,7.01,77.5,46.36813394910214
99.2,51.6,249.4,5.76,52.1,54.59083312838743
85.3,57.5,214.6,7.15,45.0,58.71564816312427
26.7,65.2,262.6,7.06,54.6,57.156371185842595
56.2,44.9,266.8,6.92,78.0,67.12599962623435
138.1,16.1,227.1,5.57,43.5,43.22566739636928
51.1,47.6,259.3,6.11,32.2,67.6135578463452
38.8,51.1,224.4,6.03,69.8,66.02142446630629
83.6,62.2,220.0,6.22,77.8,62.38501707399061
148.1,40.2,204.7,5.68,27.0,45.99321830194403
51.5,18.9,238.2,7.37,36.8,54.21088094038874
107.4,29.9,89.7,6.61,29.9,56.46046354254711
119.0,35.4,270.2,6.11,44.4,59.453101647081155
50.9,55.2,268.0,6.29,51.5,69.72169566480864
114.7,50.0,57.3,6.39,72.4,52.01550771945099
67.8,34.9,256.5,6.7,65.6,73.86042913565723
102.2,79.1,82.2,6.53,63.5,49.55848440359406
102.4,52.4,133.8,7.34,44.7,54.99135155658421
89.7,26.6,235.9,6.49,78.9,62.37926964301289
31.7,17.1,90.2,7.48,53.0,48.752205224261374
128.6,20.7,254.5,7.2,88.5,37.279338469847126
61.7,27.2,258.0,5.92,64.4,70.41830855176234
44.2,21.2,176.9,7.36,28.8,58.92936524814133
25.3,23.1,51.6,5.73,67.3,42.27594911872447
96.8,30.0,121.8,7.13,42.8,53.22585217416607
108.1,22.1,204.2,6.26,68.0,59.457861978677016
22.2,72.8,295.3,7.26,24.9,28.9369044608416
86.6,15.6,208.0,7.24,32.2,50.91797586760808
49.4,46.7,115.0,7.11,79.9,58.77886967023149
103.9,38.7,208.5,7.08,35.9,60.11432538996053
42.7,78.8,185.0,6.11,78.6,57.31449873230946
109.8,17.8,245.0,5.66,39.5,44.85965429853294
70.3,37.8,76.7,6.31,65.0,73.44908240497853
141.8,77.9,240.3,5.85,68.6,38.30117655793725
37.9,70.6,185.3,6.89,55.9,72.7854981326442
64.3,67.2,290.7,6.19,41.4,62.04502356333222
34.8,28.1,135.5,7.45,34.9,49.076303252463305
140.2,22.0,208.2,6.78,22.3,44.62555796870931
134.1,56.8,283.0,7.14,41.3,45.16375972029739
53.5,75.1,75.6,5.77,65.7,45.35090576358943
105.8,49.0,284.3,7.22,85.7,43.92282519699519
126.2,50.0,222.0,7.35,81.0,45.69506535799827
92.2,29.6,67.0,6.47,73.6,56.59078969110267
88.9,63.9,125.2,6.71,75.2,53.357252303055276
51.4,23.1,227.0,7.03,66.5,63.98959717998312
32.1,32.7,66.8,5.85,38.2,49.21465060660845
136.6,39.8,195.5,6.51,83.5,60.485706380501064
137.1,45.5,136.5,6.3,67.0,60.07520364209477
102.3,27.0,205.2,5.79,59.2,56.253853936298526
64.1,18.0,61.4,6.24,27.8,52.14882634900414
65.4,52.7,267.9,5.64,51.3,64.36992285545242
114.4,30.2,293.4,5.55,52.2,44.048768347782634
136.6,50.7,292.2,5.77,80.5,38.08272284991332
135.3,20.8,237.4,7.43,58.3,46.76044327526788
121.4,43.7,82.5,6.6,46.6,53.51906987290617
103.5,47.3,239.6,7.43,88.4,45.292883870127845
30.9,13.6,56.1,6.36,27.8,45.9809624380417
41.0,33.6,55.5,6.12,49.6,65.9122879802695
136.8,19.4,130.9,6.51,22.9,47.300981050136116
98.8,14.4,172.2,6.38,71.8,55.33331793223164
21.2,79.3,242.6,5.71,84.3,32.54662720272553
33.2,32.6,220.8,6.78,39.6,72.60034826944032
106.3,66.7,161.5,5.93,80.1,45.537153610589684
20.7,27.8,118.4,6.74,40.5,61.333318297497634
40.9,57.7,299.3,6.8,83.8,65.15274810542184
91.3,63.2,156.5,5.8,72.8,52.856559304474864
109.9,51.7,162.8,5.62,76.3,50.618690818563365
104.8,43.0,90.9,7.06,21.3,45.2439661674155
49.2,38.8,248.7,6.42,87.4,70.50319554947875
112.6,34.4,223.4,5.62,70.9,51.47334891947383
50.8,75.1,105.2,7.49,41.3,46.50745673150898
62.3,68.1,70.6,5.62,78.1,37.995013995313194
117.0,77.6,220.1,6.89,39.7,46.80114142343836
104.5,18.7,213.6,7.47,81.1,40.542808947199916
130.4,61.2,118.3,5.98,27.9,37.88918416361907
105.5,75.7,287.7,5.78,69.3,44.38497956955058
93.9,22.7,87.8,5.74,57.8,43.73327996937306
32.2,14.7,158.1,6.11,26.8,54.53905535361589
67.8,61.9,285.9,5.7,36.9,46.61811647354496
54.5,50.2,154.9,6.88,20.9,61.587421409418965
51.7,68.9,209.6,5.62,52.8,63.14178462009089
146.5,19.8,149.4,6.52,41.1,55.052610257178344
71.1,65.7,118.6,7.49,61.9,48.75202732492542
136.0,24.1,296.0,7.13,40.8,40.207578115440114
102.0,21.5,152.3,6.73,41.0,62.47455490852081
123.3,21.5,273.5,6.11,72.0,46.374714422971046
85.3,67.0,107.5,6.75,23.4,48.10214565964711
95.0,56.6,103.3,6.55,83.2,52.307786745410084
84.0,46.6,57.8,6.35,79.7,54.30488170644141
45.4,35.1,212.9,5.76,66.7,74.98438510984953
113.9,71.4,142.1,7.27,61.5,44.74556522025555
56.5,37.5,266.1,6.4,82.5,63.19227886376261
23.2,67.2,168.3,5.89,33.0,48.50225725094222
103.9,40.7,292.0,6.24,25.5,50.308105943324215
43.0,36.4,96.4,6.33,36.8,68.54914387502255
142.3,42.4,267.2,7.16,75.6,44.06578012175568
144.0,31.1,244.1,6.97,22.4,45.53393729213895
138.9,62.3,242.7,7.04,60.8,51.82936632778186
68.1,45.2,261.2,5.52,89.7,54.49709203756785
22.0,26.3,240.3,6.33,79.9,56.458007066111755
140.7,73.0,206.6,6.46,56.5,54.781610876753234
75.7,36.9,82.8,5.54,24.5,44.12208215463177
145.7,48.0,58.1,6.02,78.2,37.03568089104488
145.3,73.5,280.2,7.02,61.9,46.072780243140784
130.9,53.7,204.2,5.77,28.0,45.471760471798085
58.3,18.2,249.1,6.57,26.6,59.843597679782256
70.1,75.8,170.4,5.93,83.7,53.18384866202407
130.6,53.9,79.3,5.52,66.8,43.09294579511851
61.2,33.4,81.3,5.98,78.1,60.59627200671487
42.0,19.7,221.4,7.45,81.5,46.1823008730398
92.4,65.6,157.6,7.1,60.0,55.18563871398449
141.7,53.4,100.1,7.42,56.2,45.79120435504549
110.5,47.3,172.9,6.48,50.1,67.60327349624058
94.1,72.6,66.1,5.72,42.2,37.906608806002524
32.6,65.2,195.5,6.6,50.4,71.56765350191961
100.0,20.6,117.2,6.41,74.2,52.35815023843563
148.7,31.8,249.4,7.19,62.1,52.36028886981395
38.2,27.4,127.6,5.7,82.5,40.007890050882494
87.4,62.1,163.8,6.48,51.0,66.52027540048091
134.1,12.3,52.9,5.8,62.5,32.000182501833905
116.3,49.9,68.1,6.15,64.2,47.30434192877606
110.6,63.4,148.1,6.97,61.4,58.55095731163429
111.3,71.4,170.0,6.45,69.2,50.70888290472831
66.7,33.9,200.0,6.25,36.6,74.8037947292797
58.2,67.5,122.9,6.29,55.9,67.35657915207292
125.2,17.7,223.7,6.42,27.3,54.743814525814045
125.3,69.3,265.0,7.07,46.9,39.958938232021495
132.7,18.9,245.0,7.28,54.1,50.77734166098847
138.7,37.8,59.9,7.41,65.7,39.211022373766255
86.5,65.8,170.1,7.07,86.5,45.7234509577835
85.2,20.5,76.2,6.13,62.0,58.08632480049355
123.8,26.0,110.5,6.88,72.1,49.412512744342486
104.5,60.6,296.7,6.38,55.4,55.6961511447364
111.3,60.4,85.6,6.01,64.4,46.21682085973893
123.5,54.9,174.7,7.18,25.0,42.06765079045211
135.7,58.6,204.5,5.58,37.8,44.025123952967654
63.9,48.0,225.6,7.3,45.3,70.68942905877911
68.8,27.6,189.9,6.42,53.1,85.2
32.2,34.2,52.4,6.77,23.2,46.36548841798735
95.2,22.7,131.6,6.82,29.8,60.09343118455974
24.7,73.6,179.4,7.29,39.4,40.772211617801105
80.5,50.8,72.0,6.77,88.0,51.59874590909616
90.5,38.1,137.7,6.73,43.2,71.12136753654538
57.3,42.3,58.3,5.63,53.7,59.045699547226164
96.8,76.3,69.6,6.54,33.7,40.6077448889654
24.0,20.7,149.2,5.8,62.8,54.482913596090334
24.9,51.0,83.2,6.97,39.6,51.25610801968887
126.9,45.4,191.9,6.52,34.5,60.13599874225124
66.8,52.8,222.4,6.86,56.2,79.58455372025686
36.5,11.3,250.1,5.58,20.4,40.651571918071284
87.9,71.0,100.0,5.67,20.5,30.05134051619187
120.1,75.2,91.9,6.93,35.3,37.71228120516581
48.1,49.6,76.1,5.64,22.6,45.46409794768452
101.0,58.8,209.1,5.64,27.6,47.56912030160747
31.1,74.6,226.6,5.52,43.7,49.56458223893151
26.7,59.5,57.9,7.41,76.2,33.79616818579977
89.1,20.7,284.1,6.98,60.0,56.731834707752654
90.3,50.3,63.0,6.21,55.9,62.75456811341135
102.9,52.5,185.3,6.09,40.5,64.0086401766124
114.4,39.7,227.3,6.2,85.2,56.025923398949104
146.9,61.6,267.7,7.05,47.8,47.30619601958018
87.1,75.4,228.5,6.82,26.1,54.59727163023168
62.0,74.8,250.4,5.87,63.2,56.320812118552794
123.4,41.6,134.9,5.85,28.0,46.86064574700559
55.2,17.9,253.7,5.7,44.2,58.53939754197537
77.1,78.9,70.0,6.82,55.5,51.871933763004044
30.2,68.7,273.7,7.03,81.2,47.87439669028789
23.3,18.7,186.9,6.03,54.5,65.00610261666583
145.1,74.5,254.3,5.54,69.2,36.06948288720166
128.7,70.9,163.1,5.66,89.5,33.64462048163154
